rank,name,directors,actors,type,showdate,runtime,showplace,language,score,vote,shortcomment,longcomment,seen,tosee,fivestars,fourstars,threestars,twostars,onestar,oscar
1,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,布赖恩·利比,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,摩根·弗里曼,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,摩根·弗里曼,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,大卫·普罗瓦尔,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,大卫·普罗瓦尔,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,威廉姆·赛德勒,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,威廉姆·赛德勒,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,克兰西·布朗,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,克兰西·布朗,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,吉尔·贝罗斯,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,布赖恩·利比,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,吉尔·贝罗斯,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,詹姆斯·惠特摩,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,詹姆斯·惠特摩,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,杰弗里·德曼,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,杰弗里·德曼,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,拉里·布兰登伯格,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,拉里·布兰登伯格,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,尼尔·吉恩托利,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,尼尔·吉恩托利,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,马克·罗斯顿,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,马克·罗斯顿,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,鲍勃·冈顿,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,芮妮·布莱恩,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,鲍勃·冈顿,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,约瑟夫·劳格诺,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,芮妮·布莱恩,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,犯罪,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
1,肖申克的救赎,弗兰克·德拉邦特,唐·麦克马纳斯,剧情,1994,142,美国,英语,9.6,1182853,243769,7116,1471071,144322,83.5 ,14.6 ,1.7 ,0.1 ,0.1 ,0
