,rank,name,directors,actors,type,showdate,runtime,showplace,language,score,vote,longcomment,shortcomment,seen,tosee,fivestars,fourstars,threestars,twostars,onestar
0,1,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,剧情,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
27,1,肖申克的救赎,弗兰克·德拉邦特,布赖恩·利比,犯罪,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
28,1,肖申克的救赎,弗兰克·德拉邦特,摩根·弗里曼,剧情,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
29,1,肖申克的救赎,弗兰克·德拉邦特,摩根·弗里曼,犯罪,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
30,1,肖申克的救赎,弗兰克·德拉邦特,大卫·普罗瓦尔,剧情,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
31,1,肖申克的救赎,弗兰克·德拉邦特,大卫·普罗瓦尔,犯罪,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
32,1,肖申克的救赎,弗兰克·德拉邦特,威廉姆·赛德勒,剧情,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
33,1,肖申克的救赎,弗兰克·德拉邦特,威廉姆·赛德勒,犯罪,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
34,1,肖申克的救赎,弗兰克·德拉邦特,克兰西·布朗,剧情,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
35,1,肖申克的救赎,弗兰克·德拉邦特,克兰西·布朗,犯罪,1994,142,美国,英语,9.6,1182853.0,243769,7116,1471071,144322,83.5,14.6,1.7,0.1,0.1
